"cellid","y1","y2","y3","y4","y5","nvisit1","nvisit2","nvisit3","nvisit4","nvisit5","x.loc","y.loc"
2,NA,0,4,1,NA,NA,3,4,3,NA,4.5,1.5
5,0,0,0,NA,0,3,1,5,NA,5,13.5,1.5
6,0,0,0,0,NA,2,1,4,3,NA,16.5,1.5
7,4,0,0,0,2,5,4,2,5,3,19.5,1.5
9,2,0,0,0,0,3,1,4,5,1,25.5,1.5
23,1,0,0,0,0,1,4,4,5,1,67.5,1.5
31,2,0,0,1,NA,4,1,2,1,NA,91.5,1.5
33,1,0,NA,3,0,2,5,NA,5,2,97.5,1.5
38,1,0,0,NA,0,5,3,3,NA,3,112.5,1.5
40,1,0,0,0,0,3,5,4,5,4,118.5,1.5
47,0,0,0,0,0,3,2,1,1,1,139.5,1.5
48,1,0,0,0,NA,1,4,1,3,NA,142.5,1.5
54,2,0,0,0,0,5,1,2,5,4,160.5,1.5
61,1,NA,0,0,0,1,NA,2,5,2,181.5,1.5
66,1,NA,0,1,0,4,NA,1,3,3,196.5,1.5
70,2,1,0,1,NA,3,2,1,2,NA,208.5,1.5
72,2,0,2,0,0,5,4,3,5,2,214.5,1.5
73,2,NA,0,3,0,2,NA,1,3,3,217.5,1.5
76,4,2,0,2,2,5,3,5,5,3,226.5,1.5
87,1,1,2,0,0,3,3,5,4,1,259.5,1.5
92,2,NA,1,NA,0,4,NA,4,NA,3,274.5,1.5
93,0,NA,NA,0,0,2,NA,NA,1,5,277.5,1.5
95,2,2,NA,0,1,4,5,NA,5,4,283.5,1.5
100,0,NA,1,0,0,2,NA,4,3,1,298.5,1.5
101,1,4,1,0,2,1,5,4,1,2,1.5,4.5
102,2,0,0,0,0,5,3,1,1,5,4.5,4.5
116,0,0,0,0,0,5,5,1,4,3,46.5,4.5
119,0,0,0,0,0,4,2,1,1,4,55.5,4.5
121,1,0,0,0,NA,2,3,1,1,NA,61.5,4.5
123,1,0,1,NA,0,2,1,5,NA,5,67.5,4.5
130,1,NA,NA,2,NA,4,NA,NA,5,NA,88.5,4.5
131,0,NA,0,NA,0,3,NA,3,NA,5,91.5,4.5
